year,field,patents
2010,AI,185
2010,Robotics,123
2010,Energy,150
2011,AI,205
2011,Robotics,135
2011,Energy,170
2012,AI,235
2012,Robotics,150
2012,Energy,197
2013,AI,255
2013,Robotics,168
2013,Energy,210
2014,AI,285
2014,Robotics,180
2014,Energy,230
2015,AI,305
2015,Robotics,195
2015,Energy,250
2016,AI,335
2016,Robotics,213
2016,Energy,277
2017,AI,355
2017,Robotics,225
2017,Energy,290
2018,AI,385
2018,Robotics,240
2018,Energy,310
2019,AI,405
2019,Robotics,258
2019,Energy,330
2020,AI,435
2020,Robotics,270
2020,Energy,357
2021,AI,455
2021,Robotics,285
2021,Energy,370
2022,AI,485
2022,Robotics,303
2022,Energy,390
2023,AI,505
2023,Robotics,315
2023,Energy,410
2024,AI,535
2024,Robotics,330
2024,Energy,437
