ID,Title,Abstract,Year,Authors,Keywords,Citations
AH001,Deep learning for diabetic retinopathy detection,Convolutional neural network model achieving expert-level accuracy in detecting diabetic retinopathy from fundus photographs,2016,Chen L; Wang M; Smith J,deep-learning;diabetic-retinopathy;CNN;fundus;diagnosis,245
AH002,Machine learning prediction of sepsis onset,Random forest algorithm for early prediction of sepsis in ICU patients using electronic health records,2016,Johnson K; Brown A,machine-learning;sepsis;prediction;ICU;EHR,189
AH003,Natural language processing for clinical notes,LSTM-based model for extracting clinical information from unstructured physician notes,2016,Williams R; Davis M; Lee S,NLP;clinical-notes;LSTM;information-extraction;EHR,156
AH004,AI-assisted radiology workflow optimization,Decision support system improving radiologist efficiency in chest X-ray interpretation,2017,Garcia P; Martinez L,AI;radiology;chest-x-ray;workflow;decision-support,201
AH005,Deep learning for skin cancer classification,Multi-class classification of dermoscopic images using transfer learning from ImageNet,2017,Anderson T; Taylor K; White J,deep-learning;skin-cancer;dermoscopy;transfer-learning;classification,312
AH006,Predictive modeling for hospital readmission,Gradient boosting model predicting 30-day readmission risk for heart failure patients,2017,Thompson R; Harris M,predictive-modeling;readmission;heart-failure;gradient-boosting;risk,134
AH007,Computer-aided detection of lung nodules,3D convolutional neural network for automated lung nodule detection in CT scans,2017,Kim H; Park J; Choi S,CAD;lung-nodules;CT;3D-CNN;detection,267
AH008,Machine learning for drug-drug interactions,Knowledge graph embedding approach for predicting adverse drug interactions,2018,Robinson D; Clark E,machine-learning;drug-interactions;knowledge-graph;prediction;pharmacology,98
AH009,Federated learning for medical imaging,Privacy-preserving distributed learning across hospital networks for MRI analysis,2018,Lewis N; Walker P; Hall B,federated-learning;privacy;medical-imaging;MRI;distributed,178
AH010,AI chatbot for mental health support,Conversational agent providing cognitive behavioral therapy techniques for depression,2018,Young S; King R,AI;chatbot;mental-health;CBT;depression,145
AH011,Deep learning ECG arrhythmia detection,End-to-end deep neural network for detecting cardiac arrhythmias from single-lead ECG,2018,Wright C; Lopez M; Green T,deep-learning;ECG;arrhythmia;cardiac;detection,289
AH012,Transfer learning for rare disease diagnosis,Few-shot learning approach for diagnosing rare genetic disorders from facial images,2018,Mitchell A; Turner K,transfer-learning;rare-disease;few-shot;diagnosis;genetics,87
AH013,Explainable AI for clinical decision support,SHAP-based interpretation framework for understanding ML predictions in healthcare,2019,Phillips J; Campbell R; Evans D,explainable-AI;XAI;SHAP;clinical-decision;interpretability,234
AH014,Reinforcement learning for treatment optimization,Deep Q-learning for personalized chemotherapy dosing in cancer treatment,2019,Edwards S; Collins W,reinforcement-learning;treatment;chemotherapy;personalized;cancer,112
AH015,NLP for adverse event detection,BERT-based model for identifying adverse drug events in clinical narratives,2019,Morris L; Stewart H; Cooper J,NLP;BERT;adverse-events;drug-safety;clinical,198
AH016,AI-powered pathology image analysis,Attention-based neural network for whole-slide histopathology classification,2019,Reed T; Murphy K,AI;pathology;histopathology;attention;whole-slide,223
AH017,Wearable sensor data analytics for health monitoring,LSTM autoencoder for anomaly detection in continuous physiological monitoring,2019,Bailey M; Rivera C; Foster D,wearable;sensors;health-monitoring;LSTM;anomaly-detection,156
AH018,Machine learning for genomic medicine,Deep learning model for predicting drug response from genomic profiles,2019,Howard P; Ward S,machine-learning;genomics;drug-response;precision-medicine;prediction,189
AH019,Computer vision for surgical assistance,Real-time instrument detection and tracking in laparoscopic surgery videos,2020,Gray A; James R; Watson E,computer-vision;surgery;laparoscopic;instrument-detection;real-time,134
AH020,Federated learning for COVID-19 diagnosis,Multi-institutional collaborative model for COVID-19 detection from chest CT,2020,Brooks T; Kelly M; Price D,federated-learning;COVID-19;diagnosis;CT;collaborative,456
AH021,GPT-based clinical documentation,Large language model for automated generation of clinical progress notes,2020,Bennett L; Ross K; Hughes J,GPT;clinical-documentation;NLP;automation;progress-notes,178
AH022,AI ethics in healthcare applications,Framework for responsible AI deployment addressing bias and fairness in medical ML,2020,Sanders P; Perry M; Long S,AI-ethics;healthcare;bias;fairness;responsible-AI,267
AH023,Deep learning for ultrasound image analysis,Automated fetal biometry measurement using segmentation neural networks,2020,Butler R; Barnes C,deep-learning;ultrasound;fetal;segmentation;biometry,98
AH024,Multimodal learning for patient outcome prediction,Fusion of imaging clinical and genomic data for cancer prognosis prediction,2020,Fisher K; Webb A; Graham T,multimodal;fusion;cancer;prognosis;prediction,145
AH025,Transformer models for medical coding,BERT-based automatic ICD coding from discharge summaries,2021,Russell M; Ford J; Hayes L,transformer;BERT;ICD-coding;medical-coding;discharge,212
AH026,Continual learning for evolving diseases,Lifelong learning framework adapting to emerging disease patterns,2021,Wallace D; Stone P; Mills R,continual-learning;lifelong;disease;adaptation;emerging,89
AH027,AI for drug discovery acceleration,Graph neural network for molecular property prediction in virtual screening,2021,Hunt S; Arnold K; Black W,AI;drug-discovery;GNN;molecular;virtual-screening,334
AH028,Digital twin for personalized medicine,Patient-specific computational model for treatment simulation and optimization,2021,Grant C; Fleming A; Dunn M,digital-twin;personalized-medicine;simulation;treatment;optimization,156
AH029,Self-supervised learning for medical images,Contrastive pretraining on unlabeled radiology images for downstream tasks,2021,Carr H; Spencer T; Holmes R,self-supervised;contrastive;radiology;pretraining;medical-imaging,198
AH030,Foundation models for healthcare,Large-scale pretrained model for multiple medical NLP tasks,2022,Owen P; Bishop L; Knight S,foundation-models;pretrained;medical-NLP;multi-task;healthcare,423
AH031,Causal inference in clinical AI,Methods for identifying causal effects in observational health data,2022,Webb J; Curtis A; Dean M,causal-inference;clinical;observational;health-data;causality,145
