Patent_ID,Title,Abstract,IPC_Class,Filing_Date,Assignee,Keywords
BP001,Solid-state lithium battery with ceramic electrolyte,A solid-state battery comprising a ceramic electrolyte layer between lithium anode and cathode providing improved safety and energy density,H01M10,2015-03-15,Toyota Motor Corp,solid-state;lithium;ceramic;electrolyte;safety
BP002,Fast-charging lithium-ion battery system,Battery management system enabling rapid charging of lithium-ion cells while maintaining thermal stability and cycle life,H01M10,2015-06-22,Tesla Inc,fast-charging;lithium-ion;thermal;management;cycle-life
BP003,Recycling method for lithium battery materials,Process for recovering lithium cobalt and nickel from spent batteries using hydrometallurgical extraction,H01M10,2015-09-10,CATL,recycling;lithium;cobalt;nickel;hydrometallurgical
BP004,Silicon anode for high-capacity batteries,Nanostructured silicon anode material with carbon coating for enhanced lithium storage capacity,H01M4,2016-01-18,Samsung SDI,silicon;anode;nanostructured;carbon;capacity
BP005,Polymer electrolyte for flexible batteries,Solid polymer electrolyte membrane enabling flexible battery form factors for wearable electronics,H01M10,2016-04-25,LG Chem,polymer;electrolyte;flexible;wearable;membrane
BP006,Battery thermal management with phase change materials,Thermal regulation system using phase change materials for electric vehicle battery packs,H01M10,2016-07-30,BMW AG,thermal;management;phase-change;electric-vehicle;cooling
BP007,Lithium-sulfur battery with protected cathode,High-energy lithium-sulfur cell with protective interlayer preventing polysulfide dissolution,H01M10,2016-11-12,Oxis Energy,lithium-sulfur;cathode;polysulfide;interlayer;high-energy
BP008,Solid-state battery manufacturing method,Scalable manufacturing process for solid-state batteries using thin-film deposition techniques,H01M10,2017-02-28,QuantumScape,solid-state;manufacturing;thin-film;scalable;deposition
BP009,Battery state-of-health monitoring system,Machine learning algorithm for predicting battery degradation and remaining useful life,H01M10,2017-05-15,Bosch,state-of-health;monitoring;machine-learning;degradation;prediction
BP010,High-nickel cathode material synthesis,Method for producing nickel-rich layered cathode materials with improved structural stability,H01M4,2017-08-20,Panasonic,nickel;cathode;layered;synthesis;stability
BP011,Graphene-enhanced lithium battery,Graphene composite electrode materials for improved conductivity and rate capability,H01M4,2017-11-05,Huawei Technologies,graphene;electrode;conductivity;composite;rate-capability
BP012,Sodium-ion battery for grid storage,Low-cost sodium-ion battery chemistry for stationary energy storage applications,H01M10,2018-02-14,CATL,sodium-ion;grid-storage;low-cost;stationary;energy-storage
BP013,All-solid-state battery stack design,Bipolar stacking architecture for high-voltage solid-state battery modules,H01M10,2018-05-22,Toyota Motor Corp,solid-state;bipolar;stacking;high-voltage;module
BP014,Lithium metal anode protection,Artificial solid-electrolyte interphase coating for stable lithium metal anodes,H01M4,2018-08-30,Stanford University,lithium-metal;anode;SEI;coating;stability
BP015,Battery fast-charging protocol optimization,Adaptive charging algorithm minimizing degradation during high-rate charging cycles,H01M10,2018-11-18,Tesla Inc,fast-charging;algorithm;adaptive;degradation;optimization
BP016,Cobalt-free cathode materials,Lithium iron manganese phosphate cathode eliminating cobalt dependency,H01M4,2019-02-25,BYD Company,cobalt-free;cathode;iron;manganese;phosphate
BP017,Dry electrode manufacturing process,Solvent-free electrode coating method reducing manufacturing cost and environmental impact,H01M4,2019-05-10,Maxwell Technologies,dry-electrode;solvent-free;manufacturing;coating;environmental
BP018,Battery second-life assessment system,Automated testing and grading system for repurposing electric vehicle batteries,H01M10,2019-08-15,Nissan Motor,second-life;assessment;repurposing;electric-vehicle;testing
BP019,Sulfide solid electrolyte composition,Lithium thiophosphate solid electrolyte with enhanced ionic conductivity and air stability,H01M10,2019-11-22,Samsung SDI,sulfide;solid-electrolyte;thiophosphate;ionic-conductivity;air-stability
BP020,Wireless battery management system,Distributed sensing architecture eliminating wiring in large battery packs,H01M10,2020-02-28,Analog Devices,wireless;BMS;distributed;sensing;architecture
BP021,Silicon-carbon composite anode,Engineered silicon-carbon nanocomposite with optimized porosity for volume expansion accommodation,H01M4,2020-05-14,Sila Nanotechnologies,silicon-carbon;composite;nanocomposite;porosity;expansion
BP022,Lithium extraction from geothermal brines,Direct lithium extraction technology for sustainable battery material sourcing,C22B26,2020-08-20,Lilac Solutions,lithium-extraction;geothermal;brine;sustainable;sourcing
BP023,Solid-state battery thermal runaway prevention,Multi-layer safety architecture preventing thermal propagation in solid-state cells,H01M10,2021-01-15,QuantumScape,thermal-runaway;safety;prevention;propagation;solid-state
BP024,Recycled cathode material reprocessing,Direct recycling method preserving crystal structure of spent cathode materials,H01M10,2021-04-22,Redwood Materials,recycling;cathode;direct;crystal-structure;reprocessing
BP025,Ultra-fast charging battery architecture,Battery design enabling ten-minute charging through optimized ion transport pathways,H01M10,2021-07-30,StoreDot,ultra-fast;charging;ion-transport;architecture;ten-minute
BP026,Sodium solid-state battery electrolyte,NASICON-type solid electrolyte for room-temperature sodium batteries,H01M10,2021-10-18,Sharp Corporation,sodium;solid-state;NASICON;electrolyte;room-temperature
BP027,AI-powered battery design optimization,Machine learning framework for accelerated discovery of battery materials,H01M10,2022-01-25,Google DeepMind,AI;machine-learning;battery-design;optimization;discovery
BP028,Structural battery for electric vehicles,Load-bearing battery integrated into vehicle chassis for improved energy density,H01M10,2022-04-12,Volvo Cars,structural;battery;chassis;load-bearing;integration
BP029,Lithium-air battery catalyst,Bifunctional catalyst for reversible oxygen reduction in lithium-air batteries,H01M12,2022-07-20,MIT,lithium-air;catalyst;bifunctional;oxygen;reversible
BP030,Solid-state battery quality control,In-line inspection system for detecting defects in solid-state battery manufacturing,H01M10,2022-10-28,Applied Materials,quality-control;inspection;defects;manufacturing;solid-state
BP031,Battery digital twin system,Physics-based simulation model for real-time battery performance prediction,H01M10,2023-02-15,Siemens AG,digital-twin;simulation;physics-based;prediction;real-time
BP032,Sustainable battery packaging,Biodegradable packaging materials for battery cells reducing environmental impact,H01M50,2023-05-22,Northvolt,sustainable;packaging;biodegradable;environmental;cells
BP033,Quantum computing for battery simulation,Quantum algorithm for molecular simulation of electrolyte-electrode interfaces,H01M10,2023-08-30,IBM Research,quantum-computing;simulation;molecular;electrolyte;interface
BP034,Solid-state battery pressure management,Integrated pressure control system maintaining optimal stack pressure during cycling,H01M10,2023-11-14,Solid Power,pressure;management;stack;cycling;solid-state
BP035,Next-generation lithium metal battery,Anode-free lithium metal cell with in-situ formed lithium layer,H01M10,2024-02-20,24M Technologies,lithium-metal;anode-free;in-situ;next-generation;cell
