ID,Title,Abstract,Year,Source,Keywords
QC001,Superconducting qubit coherence improvement,Extended coherence times in transmon qubits through improved fabrication and shielding techniques,2015,Patent,superconducting;qubit;coherence;transmon;fabrication
QC002,Quantum error correction codes review,Comprehensive analysis of stabilizer codes and fault-tolerant quantum computation thresholds,2015,Publication,error-correction;stabilizer;fault-tolerant;threshold;codes
QC003,Quantum annealing for optimization problems,D-Wave quantum annealer application to combinatorial optimization in logistics,2015,Patent,quantum-annealing;optimization;D-Wave;combinatorial;logistics
QC004,Variational quantum eigensolver algorithm,Hybrid quantum-classical algorithm for molecular ground state energy estimation,2016,Publication,VQE;variational;eigensolver;molecular;hybrid
QC005,Ion trap quantum processor architecture,Scalable trapped-ion system with integrated optical addressing for quantum computation,2016,Patent,ion-trap;trapped-ion;scalable;optical;processor
QC006,Quantum machine learning foundations,Theoretical framework for quantum-enhanced supervised learning algorithms,2016,Publication,quantum-ML;machine-learning;supervised;algorithm;theory
QC007,Cryogenic control electronics for qubits,Low-power CMOS circuits operating at millikelvin temperatures for qubit control,2016,Patent,cryogenic;CMOS;control;millikelvin;electronics
QC008,Quantum supremacy experimental demonstration,Random circuit sampling achieving computational advantage over classical supercomputers,2017,Publication,quantum-supremacy;random-circuit;sampling;advantage;demonstration
QC009,Topological qubit design,Majorana-based topological qubit architecture for fault-tolerant quantum computing,2017,Patent,topological;Majorana;fault-tolerant;qubit;architecture
QC010,Quantum approximate optimization algorithm,QAOA performance analysis for MAX-CUT problems on near-term quantum devices,2017,Publication,QAOA;optimization;MAX-CUT;near-term;NISQ
QC011,Quantum network entanglement distribution,Fiber-optic system for distributing entangled photon pairs across metropolitan distances,2017,Patent,quantum-network;entanglement;photon;fiber-optic;distribution
QC012,Noise characterization in NISQ devices,Benchmarking protocols for understanding error sources in noisy quantum processors,2018,Publication,NISQ;noise;benchmarking;error;characterization
QC013,Quantum random number generator,Certified randomness generation using quantum vacuum fluctuations,2018,Patent,QRNG;random-number;vacuum;certified;randomness
